segment_id,timestep,date,material,weather,age_factor,dirt_level,wear_level,reflectivity_score,spectral_mean
SEG_001,0,2025-10-26,road_marking_new,rain,0.0,0.0,0.0,0.8898,0.9233
SEG_001,1,2025-10-27,road_marking_new,clear,0.0011,0.002,0.0039,0.9139,0.9384
SEG_001,2,2025-10-28,road_marking_new,clear,0.0022,0.004,0.0078,0.9107,0.9356
SEG_001,3,2025-10-29,road_marking_new,rain,0.0033,0.0061,0.0117,0.8829,0.9177
SEG_001,4,2025-10-30,road_marking_new,rain,0.0044,0.0081,0.0156,0.8806,0.9155
SEG_001,5,2025-10-31,road_marking_new,rain,0.0055,0.0101,0.0195,0.8784,0.9128
SEG_001,6,2025-11-01,road_marking_new,rain,0.0066,0.0121,0.0234,0.8755,0.9107
SEG_001,7,2025-11-02,road_marking_new,clear,0.0077,0.0141,0.0273,0.9059,0.9286
SEG_001,8,2025-11-03,road_marking_new,clear,0.0088,0.0162,0.0311,0.8976,0.9229
SEG_001,9,2025-11-04,road_marking_new,clear,0.0099,0.0182,0.035,0.897,0.9233
SEG_001,10,2025-11-05,road_marking_new,heavy_rain,0.011,0.0202,0.0389,0.8359,0.8763
SEG_001,11,2025-11-06,road_marking_new,haze,0.0121,0.0222,0.0428,0.7874,0.8124
SEG_001,12,2025-11-07,road_marking_new,clear,0.0132,0.0242,0.0467,0.8914,0.9176
SEG_001,13,2025-11-08,road_marking_new,clear,0.0143,0.0262,0.0506,0.8905,0.9166
SEG_001,14,2025-11-09,road_marking_new,clear,0.0154,0.0283,0.0545,0.8853,0.9129
SEG_001,15,2025-11-10,road_marking_new,clear,0.0165,0.0303,0.0584,0.8838,0.9107
SEG_001,16,2025-11-11,road_marking_new,rain,0.0176,0.0323,0.0623,0.8534,0.8905
SEG_001,17,2025-11-12,road_marking_new,haze,0.0187,0.0343,0.0662,0.7758,0.8019
SEG_001,18,2025-11-13,road_marking_new,heavy_rain,0.0199,0.0363,0.0701,0.8235,0.8637
SEG_001,19,2025-11-14,road_marking_new,clear,0.021,0.0384,0.074,0.8774,0.9037
SEG_001,20,2025-11-15,road_marking_new,clear,0.0221,0.0404,0.0779,0.8774,0.9029
SEG_001,21,2025-11-16,road_marking_new,rain,0.0232,0.0424,0.0818,0.8452,0.8828
SEG_001,22,2025-11-17,road_marking_new,rain,0.0243,0.0444,0.0857,0.8468,0.8826
