segment_id,timestep,date,material,weather,age_factor,dirt_level,wear_level,reflectivity_score,spectral_mean,mean_brightness,std_brightness,michelson_contrast,edge_density,laplacian_var,bright_ratio,r_mean,g_mean,b_mean,rg_ratio,spectral_std
SEG_001,0,2025-10-26,road_marking_new,rain,0.0,0.0,0.0,0.8898,0.9233,0.8268920938387067,0.0684918170525735,0.662913779334367,0.0,0.5344400278940438,0.62310056841146,0.3283850553411401,0.3734746910514619,0.38195218525017793,0.879267548623108,0.04114221392804729
SEG_001,1,2025-10-27,road_marking_new,clear,0.0011,0.002,0.0039,0.9139,0.9384,0.792821288334689,0.06134260844357471,0.7610635056863008,0.011488956717277551,0.4526825948123953,0.6698408483478663,0.37586169031623495,0.4484749656568366,0.34471135547142207,0.8380865845636768,0.05842291946219919
SEG_001,2,2025-10-28,road_marking_new,clear,0.0022,0.004,0.0078,0.9107,0.9356,0.8132445193642296,0.05682957026527364,0.711710408678725,0.042656480594231896,0.46379200335056725,0.6467876229095847,0.3619359046963293,0.4111570610865101,0.2948507621533196,0.8802841022741759,0.06269067402662859
SEG_001,3,2025-10-29,road_marking_new,rain,0.0033,0.0061,0.0117,0.8829,0.9177,0.8401007279680583,0.05758407984408598,0.6351248011880033,0.02890770607283495,0.4804398001196048,0.6416900176730506,0.35282803472655433,0.37610048967182913,0.29990086993363524,0.9381192162637212,0.07520033296779319
SEG_001,4,2025-10-30,road_marking_new,rain,0.0044,0.0081,0.0156,0.8806,0.9155,0.8232123196059987,0.06253717594806196,0.6655088745130201,0.03708178220248144,0.5074139177064978,0.5755742291582743,0.3831445465986226,0.3570676808468996,0.3987563459488582,1.073027591470291,0.059633346071144906
SEG_001,5,2025-10-31,road_marking_new,rain,0.0055,0.0101,0.0195,0.8784,0.9128,0.7075488848049435,0.049077588617636905,0.7085275990222942,0.04635088860283347,0.512191888869371,0.6207527721885189,0.3601321478061477,0.33798854694913544,0.3588378830810645,1.0655126794804237,0.07062011363025474
SEG_001,6,2025-11-01,road_marking_new,rain,0.0066,0.0121,0.0234,0.8755,0.9107,0.7821785367010234,0.08104458978298246,0.6575606515658434,0.055367914971312354,0.5016789244060311,0.6526409099865627,0.37855143128411756,0.3543621969731561,0.3388995280579036,1.0682583138361115,0.06965039999993819
SEG_001,7,2025-11-02,road_marking_new,clear,0.0077,0.0141,0.0273,0.9059,0.9286,0.7639607116680921,0.06693410640394817,0.6922085752810125,0.010511320831307748,0.5289365953017995,0.6295161000433239,0.3403316006520609,0.3309317169595661,0.396859652874608,1.0284011921784186,0.05371954146808402
SEG_001,8,2025-11-03,road_marking_new,clear,0.0088,0.0162,0.0311,0.8976,0.9229,0.7588312459282577,0.06126362965786717,0.637641138331248,0.032697163776704306,0.5067294648916589,0.540164620376536,0.34447939870408534,0.40298292491447185,0.3516947511453467,0.8548216874338019,0.044487136648535715
SEG_001,9,2025-11-04,road_marking_new,clear,0.0099,0.0182,0.035,0.897,0.9233,0.7788739400775349,0.05616195225172661,0.7279420962929918,0.030718545685069615,0.6114040007507926,0.6132417518835537,0.35834288008364984,0.36483683801887123,0.28463085636447855,0.9821976854964111,0.046000448238183035
SEG_001,10,2025-11-05,road_marking_new,heavy_rain,0.011,0.0202,0.0389,0.8359,0.8763,0.7162767428464352,0.06898860379842257,0.6644188011974506,0.03544567401911441,0.5015450034422393,0.6183321909731074,0.34425221858717875,0.34185076640331663,0.31598011222840305,1.0070219095519608,0.07651220189601046
SEG_001,11,2025-11-06,road_marking_new,haze,0.0121,0.0222,0.0428,0.7874,0.8124,0.7274609402785189,0.08348994942262843,0.5560411140727926,0.06486756121421387,0.505924404573976,0.5813426761237637,0.2861850184700639,0.30450173088432275,0.32465697607077015,0.9398438484900895,0.0494309167353035
SEG_001,12,2025-11-07,road_marking_new,clear,0.0132,0.0242,0.0467,0.8914,0.9176,0.7881315090058797,0.07314647891218948,0.6377442829423949,0.07318070448754561,0.5501240334719,0.5755516314875537,0.37616666947554966,0.3942488010404289,0.3087451478496425,0.9541328073795912,0.054116344999848846
SEG_001,13,2025-11-08,road_marking_new,clear,0.0143,0.0262,0.0506,0.8905,0.9166,0.7617920006597131,0.054103090699342576,0.6241009618067971,0.052867295011956986,0.5452965976982802,0.6339967959029211,0.3762183360102945,0.3429029346302082,0.35009595740029253,1.097153744870303,0.05659210668829994
SEG_001,14,2025-11-09,road_marking_new,clear,0.0154,0.0283,0.0545,0.8853,0.9129,0.770259529309817,0.05402871239826344,0.7331449429657009,0.04940262437927112,0.5585636513864116,0.6737338496701564,0.3705410495998032,0.38786671132519607,0.3404447790454043,0.9553284245646686,0.06206595446791262
